site,territory,EX,build_year,sample_year,plot_year,time,date,month,day,plot,species_cor,nom_lat,height,diam,arrow,stem_state,no_browsing,young_browsing,old_browsing,Browsing_percent,sampling_area_m2,missingpicnote
CA1001,Casault,EX,2010,2010,1_2010,T0,29/06/2010,6,29,1,Abibal,Abies balsamea,26,NA,Unbrowsed,NA,13,0,NA,0,4,ok
CA1001,Casault,EX,2010,2010,1_2010,T0,29/06/2010,6,29,1,Abibal,Abies balsamea,13,NA,Unbrowsed,NA,1,0,NA,0,4,ok
CA1001,Casault,EX,2010,2010,1_2010,T0,29/06/2010,6,29,1,Acespi,Acer spicatum,275,NA,Browsed,NA,3,2,NA,40,4,ok
CA1001,Casault,EX,2010,2010,1_2010,T0,29/06/2010,6,29,1,Acespi,Acer spicatum,200,NA,Browsed,NA,3,11,NA,78.57142857,4,ok
CA1001,Casault,EX,2010,2010,1_2010,T0,29/06/2010,6,29,1,Acespi,Acer spicatum,270,NA,Browsed,NA,6,7,NA,53.84615385,4,ok
CA1001,Casault,EX,2010,2010,1_2010,T0,29/06/2010,6,29,1,Acespi,Acer spicatum,10,NA,Unbrowsed,NA,1,0,NA,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Abibal,Abies balsamea,69,NA,Unbrowsed,Live,44,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Abibal,Abies balsamea,29,NA,Unbrowsed,Live,12,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Abibal,Abies balsamea,38,NA,Unbrowsed,Live,7,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Abibal,Abies balsamea,20,NA,Unbrowsed,Live,5,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,12,NA,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,200,NA,Unbrowsed,Live,5,0,7,58.33333333,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,42,NA,Unbrowsed,Live,2,0,1,33.33333333,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,57,NA,Unbrowsed,Live,4,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,45,NA,Browsed,Dead by Browsing,0,0,7,100,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,45,NA,Unbrowsed,Live,4,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,156,NA,Browsed,Live,9,0,9,50,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,289,NA,Browsed,Live,16,0,12,42.85714286,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,205,NA,Unbrowsed,Live,15,0,14,48.27586207,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,232,NA,Unbrowsed,Live,25,0,6,19.35483871,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,315,NA,Unbrowsed,Live,18,0,7,28,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,64,NA,Browsed,Live,2,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,1_2011,T1,19/07/2011,7,19,1,Acespi,Acer spicatum,41,NA,Unbrowsed,Live,3,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Abibal,Abies balsamea,37,NA,Unbrowsed,Live,11,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Abibal,Abies balsamea,73,NA,Unbrowsed,Live,42,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Acespi,Acer spicatum,130,NA,Unbrowsed,Live,15,0,4,21.05263158,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Acespi,Acer spicatum,170,NA,Unbrowsed,Live,18,0,4,18.18181818,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Acespi,Acer spicatum,92,NA,Unbrowsed,Live,7,0,2,22.22222222,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Acespi,Acer spicatum,118,NA,Unbrowsed,Live,5,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Acespi,Acer spicatum,134,NA,Unbrowsed,Live,5,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Acespi,Acer spicatum,200,NA,Unbrowsed,Live,7,0,3,30,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Acespi,Acer spicatum,300,NA,Unbrowsed,Live,27,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,1_2012,T2,27/05/2012,5,27,1,Acespi,Acer spicatum,300,NA,Browsed,Live,11,0,4,26.66666667,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Abibal,Abies balsamea,103,20.84,Unbrowsed,Live,113,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Abibal,Abies balsamea,29,5.3,Unbrowsed,Live,6,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Abibal,Abies balsamea,65.5,10.9,Unbrowsed,Live,41,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,209,24.92,Unbrowsed,Live,25,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,270,49.6,Unbrowsed,Live,48,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,180,32.4,Unbrowsed,Live,27,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,209,60,Unbrowsed,Live,34,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,124,17.52,Unbrowsed,Live,8,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,28,2.96,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,212,19.3,Unbrowsed,Live,4,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,210,43.7,Unbrowsed,Live,6,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,85,9,Unbrowsed,Live,2,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,248,21.74,Unbrowsed,Live,9,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,67,10.1,Unbrowsed,Live,3,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,300,49.7,Unbrowsed,Live,28,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,142.5,12.56,Unbrowsed,Live,2,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,194,24.72,Unbrowsed,Live,7,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,183,41.5,Unbrowsed,Live,41,0,0,0,4,ok
