Site,site_Treatment, LON (NAD83 MTM (Modified Transverse Mercator) zone 6),LAT (NAD83 MTM (Modified Transverse Mercator) zone 6),LON E,LAT N
CA1001,CA1001_EX,332458.5303,5365787.26,-67.12621307,48.43013629
CA1001,CA1001_TE,332459.1032,5365826.443,-67.12620274,48.43048867
CA1002,CA1002_EX,336489.7491,5364785.896,-67.07181093,48.42094061
CA1002,CA1002_TE,336486.2031,5364749.184,-67.07186161,48.42061061
CA1003,CA1003_EX,352525.7536,5371542.396,-66.8543759,48.48069299
CA1003,CA1003_TE,352562.7057,5371585.183,-66.85387117,48.48107498
CA1104,CA1104_EX,329961.0692,5371495.676,-67.15962096,48.48158025
CA1104,CA1104_TE,329956.4437,5371546.237,-67.15968049,48.48203516
CA1105,CA1105_EX,331761.0672,5370778.247,-67.13531733,48.47505343
CA1105,CA1105_TE,331786.8092,5370740.92,-67.13497155,48.47471663
CH1001,CH1001_EX,437271.7833,5416531.2,-65.69394623,48.87296104
CH1001,CH1001_TE,437265.2239,5416495.541,-65.69404715,48.87264191
CH1002,CH1002_EX,430448.895,5414787.572,-65.78745648,48.85870657
CH1002,CH1002_TE,430465.7714,5414815.509,-65.787218,48.85895428
CH1003,CH1003_EX,425225.2375,5409905.462,-65.86005527,48.81585425
CH1003,CH1003_TE,425210.9359,5409930.215,-65.86024269,48.81607954
CH1104,CH1104_EX,424231.737,5408886.451,-65.87387533,48.80688541
CH1104,CH1104_TE,424212.721,5408919.971,-65.87412439,48.8071904
CH1105,CH1105_EX,429563.7656,5412521.816,-65.80020459,48.83851777
CH1105,CH1105_TE,429582.0715,5412471.573,-65.79997059,48.83806245
MA1001,MA1001_EX,362673.389,5395739.573,-66.71374429,48.69743957
MA1001,MA1001_TE,362703.4217,5395752.296,-66.71333453,48.6975512
MA1002,MA1002_EX,362382.0672,5401243.758,-66.71693371,48.74696297
MA1002,MA1002_TE,362340.4968,5401277.938,-66.7174942,48.74727417
MA1003,MA1003_EX,346568.3726,5410358.35,-66.93104719,48.83018934
MA1003,MA1003_TE,346629.9371,5410370.862,-66.93020735,48.83029771
MA1104,MA1104_EX,328399.4966,5396357.613,-67.17933375,48.7052345
MA1104,MA1104_TE,328388.0002,5396326.481,-67.17949174,48.70495496
MA1105,MA1105_EX,370305.2661,5399658.981,-66.60944963,48.73192978
MA1105,MA1105_TE,370299.1797,5399621.365,-66.60953833,48.73159217
MA1106,MA1106_EX,358657.1437,5400697.076,-66.76765641,48.74237995
MA1106,MA1106_TE,358708.9022,5400728.488,-66.76694855,48.74265795
2009,2,2,0.1,0.9,-14.2
2009,2,3,0.1,0.2,-20.9
2009,2,4,0,0,-17.3
2009,2,5,0,0.1,-19.5
2009,2,6,0,0.1,-20.7
2009,2,7,0.9,4.7,-20
2009,2,8,10.4,4.9,-8.2
2009,2,9,0,0,-18.2
2009,2,10,0.2,1.6,-19.5
2009,2,11,2.6,18.2,-16.9
2009,2,12,1.5,12.7,-11.5
2009,2,13,2.1,3.5,-19.1
2009,2,14,4.1,4.6,-20.9
2009,2,15,0,0.5,-6.3
2009,2,16,0,0.6,-6.8
2009,2,17,0,0.1,-8.1
2009,2,18,0,14.1,-11.8
2009,2,19,0.6,41.2,-15.2
2009,2,20,7.1,15.1,-8.9
2009,2,21,0.6,1.1,-7.4
2009,2,22,0.7,21.4,-12.8
2009,2,23,32.5,36.8,-10.6
2009,2,24,0.6,0,-10.9
2009,2,25,0,0.3,-16.1
2009,2,26,0,0.9,-17.6
2009,2,27,7,29.9,-5.1
2009,2,28,0,0,-17
2009,3,1,1.1,1,-23.8
2009,3,2,4.6,23,-19.2
2009,3,3,1.1,0.1,-14.6
2009,3,4,1.6,0,-19.7
2009,3,5,1.6,12,-18.1
2009,3,6,4.1,17.4,-23.7
2009,3,7,0.7,2.7,-7.5
2009,3,8,2.8,0.2,-7
2009,3,9,0.1,0.4,-12.3
2009,3,10,0.1,5.7,-14.6
2009,3,11,1.6,4.4,-11.2
2009,3,12,0.4,0,-18.7
2009,3,13,0.1,0,-21.6
2009,3,14,0.4,0.2,-18.4
2009,3,15,0,0,-15.3
2009,3,16,0.4,0,-17.7
2009,3,17,0.2,0.3,-17.4
2009,3,18,2.6,0.7,-6.2
2009,3,19,0,0,-8.9
2009,3,20,0,0,-14.5
2009,3,21,0.2,1.1,-20.8
2009,3,22,1.4,0.1,-11.9
2009,3,23,1.2,0.1,-13.6
2009,3,24,0,0,-8
2009,3,25,0.3,0,-16.2
2009,3,26,0.3,4.8,-12.4
2009,3,27,0,0.5,-8.5
2009,3,28,1.2,0.2,-2.3
2009,3,29,0,20.2,-6.8
2009,3,30,0.1,7.7,-5.1
2009,3,31,0,0.1,-5.9
2009,4,1,0.1,2.1,-10.4
2009,4,2,0.3,0.1,-1.7
2009,4,3,5.8,31.2,-3.4
2009,4,4,4,11.9,0.5
2009,4,5,2.3,3.2,-2.1
2009,4,6,4.8,34.3,-3.9
2009,4,7,11.4,6.9,-2.8
2009,4,8,0.2,1.2,-1.4
2009,4,9,0.6,0.5,-2.6
2009,4,10,0,0,-5.8
2009,4,11,0,0,-5.3
2009,4,12,8.2,2.7,-6.1
2009,4,13,5.7,2.4,-6.7
2009,4,14,0.2,0,-6.8
2009,4,15,0,0,-7.1
2009,4,16,0.1,0.1,-9.5
2009,4,17,0,1.5,-7.1
2009,4,18,0,0,-8.9
2009,4,19,0,0,-8.7
2009,4,20,0.3,3.5,-8.1
2009,4,21,7.2,6.9,-5.4
2009,4,22,14.2,27.4,-0.4
2009,4,23,8.2,12,1.7
2009,4,24,0.1,0.1,-0.6
2009,4,25,0.2,1.5,0
2009,4,26,0,0.2,1.1
2009,4,27,0.5,0.3,-6.4
2009,4,28,0,3.2,0.7
2009,4,29,0,0,-4.7
2009,4,30,0.5,16.4,-4.6
2009,5,1,9.7,9.8,-1
2009,5,2,0,0.4,0.9
2009,5,3,0,0.1,-4.7
2009,5,4,0.2,0,-2.1
2009,5,5,0,0.3,-4.7
2009,5,6,4.4,2.7,-2.4
2009,5,7,2.5,5.8,0.4
2009,5,8,0.5,2.8,1.4
2009,5,9,27.2,38.6,-0.2
2009,5,10,2.6,2.4,0.5
2009,5,11,0.4,0,-2.3
2009,5,12,0,0,-4.1
2009,5,13,0,0.4,-2.1
2009,5,14,5.1,12,1.3
2009,5,15,0.1,0.1,6.9
2009,5,16,8.7,11.6,-2.7
2009,5,17,2.6,0.1,3.7
2009,5,18,0,0.1,-1
2009,5,19,0.6,0.7,-2.5
2009,5,20,0.2,0.4,-2.4
2009,5,21,0,0.5,-0.7
2009,5,22,0,0,3
2009,5,23,0.1,0.1,-1.6
2009,5,24,0.3,0.5,1.6
2009,5,25,3,0,-0.3
2009,5,26,0,0.2,-1.2
2009,5,27,1.2,4.3,-3.7
2009,5,28,0,41,0.3
2009,5,29,9.1,12.7,5.7
2009,5,30,4.7,6.4,6.4
2009,5,31,7.7,6.1,5.8
2009,6,1,4.3,3.9,4
2009,6,2,0.1,0.1,4.7
2009,6,3,0.3,0.5,-0.3
2009,6,4,0,0,-0.5
2009,6,5,0.3,0,0.5
2009,6,6,6,1.8,2.9
2009,6,7,0.1,0,5.7
2009,6,8,0,1.3,3.1
2009,6,9,0,20.8,3
2009,6,10,0.2,2.1,2.2
2009,6,11,4.5,34.9,4.8
2009,6,12,3.6,0.6,7.4
2009,6,13,0,0.4,5.5
2009,6,14,3,3.7,3.2
2009,6,15,3.2,31.3,2.9
2009,6,16,0.4,0.6,5.4
2009,6,17,2.1,0.4,9.2
2009,6,18,0,8.8,9.4
2009,6,19,1.1,2.1,11.7
2009,6,20,6.8,14.8,10.9
2009,6,21,0,2.5,11.1
2009,6,22,0,0,9.2
2009,6,23,0,0.1,7.5
2009,6,24,0.5,0.9,8.2
2009,6,25,13.2,60.6,13.4
