plot_year,Browsing_percent_plot,old_browsing_plot,young_browsing_plot,no_browsing_plot,height_plot,growth,FAI,site,NPP_July2016,NPP_June2016,EffectiveMooseDensitykm2,year_site,mean.temp,summ.temp,wint.temp,rain.GP,rain.year,rain.wint,site_Treatment,territory,EX,build_year,sample_year,time,date,month,day,plot,species_cor,nom_lat,missingpicnote,LON..NAD83.MTM..Modified.Transverse.Mercator..zone.6.,LAT..NAD83.MTM..Modified.Transverse.Mercator..zone.6.,LON.E,LAT.N,browsingfactorial
1_2011,0,0,0,17,39,3.988533307,4.050396138,CA1001,6.5,5.050000191,2,2011_CA1001,2.940027322,14.06721311,-5.328688525,3.37704918,02/01/1900,2.069398907,CA1001_EX,Casault,EX,2010,2011,T1,19/07/2011,7,19,1,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,no
1_2012,0,0,0,26.5,55,2.700569426,2.427011144,CA1001,6.5,5.050000191,2,2012_CA1001,3.109178082,14.90819672,-5.336813187,2.631967213,02/01/1900,2.818681319,CA1001_EX,Casault,EX,2010,2012,T2,27/05/2012,5,27,1,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,no
1_2013,0,0,0,53.33333333,65.83333333,2.118908319,4.979893631,CA1001,6.5,5.050000191,2,2013_CA1001,0.843013699,13.4795082,-8.667857143,2.714754098,2.881917808,3.002747253,CA1001_EX,Casault,EX,2010,2013,T3,NA,NA,NA,1,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,no
1_2014,0,0,0,44.33333333,74.33333333,-3.12435109,3.908392099,CA1001,6.5,5.050000191,2,2014_CA1001,1.270273973,14.89262295,-8.703021978,3.249180328,02/01/1900,2.63021978,CA1001_EX,Casault,EX,2010,2014,T4,25/05/2014,5,25,1,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,no
1_2015,NA,NA,NA,NA,61.8,3.913748307,3.120898646,CA1001,6.5,5.050000191,2,2015_CA1001,2.224863388,14.30286885,-6.178142077,3.221311475,02/01/1900,2.657377049,CA1001_EX,Casault,EX,2010,2015,T5,26/05/2015,5,26,1,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,NA
100_2011,0,0,0,8,42,-3.791730676,0.163493083,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_EX,Matane,EX,2010,2011,T1,08/07/2011,7,8,100,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
100_2012,0,0,0,6.473684211,26.78947368,1.942501598,2.110316126,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_EX,Matane,EX,2010,2012,T2,17/06/2012,6,17,100,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
100_2013,0,0,0,15.68181818,34.58181818,2.239772965,2.584292484,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_EX,Matane,EX,2010,2013,T3,NA,NA,NA,100,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
100_2014,0,0,0,19.06666667,43.56666667,1.020938762,3.089164101,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,100,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
100_2015,NA,NA,NA,NA,47.66216216,-0.810269907,3.050207076,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,100,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
