"plot_year"	"Browsing_percent_plot"	"old_browsing_plot"	"young_browsing_plot"	"no_browsing_plot"	"height_plot"	"growth"	"FAI"	"site"	"NPP_July2016"	"NPP_June2016"	"EffectiveMooseDensitykm2"	"year_site"	"mean.temp"	"summ.temp"	"wint.temp"	"rain.GP"	"rain.year"	"rain.wint"	"site_Treatment"	"territory"	"EX"	"build_year"	"sample_year"	"time"	"date"	"month"	"day"	"plot"	"species_cor"	"nom_lat"	"height"	"diam"	"arrow"	"stem_state"	"no_browsing"	"young_browsing"	"old_browsing"	"Browsing_percent"	"sampling_area_m2"	"missingpicnote"	"Site"	"LON..NAD83.MTM..Modified.Transverse.Mercator..zone.6."	"LAT..NAD83.MTM..Modified.Transverse.Mercator..zone.6."	"LON.E"	"LAT.N"	"browsingfactorial"
"3"	"1_2011"	0	"0"	"0"	"17"	39	3.98853330676551	4.05039613834854	"CA1001"	6.5	5.050000191	2	"2011_CA1001"	2.94002732240437	14.0672131147541	-5.32868852459016	3.37704918032787	2.76092896174863	2.06939890710383	"CA1001_EX"	"Casault"	"EX"	2010	2011	"T1"	"19/07/2011"	7	19	1	"Abibal"	"Abies balsamea"	38	NA	"Unbrowsed"	"Live"	7	0	0	0	4	"ok"	"CA1001"	332458.5303	5365787.26	-67.12621307	48.43013629	"no"
"7"	"1_2012"	0	"0"	"0"	"26.5"	55	2.70056942645582	2.42701114374016	"CA1001"	6.5	5.050000191	2	"2012_CA1001"	3.10917808219178	14.9081967213115	-5.33681318681319	2.63196721311475	2.90602739726027	2.81868131868132	"CA1001_EX"	"Casault"	"EX"	2010	2012	"T2"	"27/05/2012"	5	27	1	"Abibal"	"Abies balsamea"	73	NA	"Unbrowsed"	"Live"	42	0	0	0	4	"ok"	"CA1001"	332458.5303	5365787.26	-67.12621307	48.43013629	"no"
"9"	"1_2013"	0	"0"	"0"	"53.3333333333333"	65.8333333333333	2.11890831921918	4.97989363082984	"CA1001"	6.5	5.050000191	2	"2013_CA1001"	0.843013698630137	13.4795081967213	-8.66785714285714	2.71475409836066	2.88191780821918	3.00274725274725	"CA1001_EX"	"Casault"	"EX"	2010	2013	"T3"	NA	NA	NA	1	"Abibal"	"Abies balsamea"	65.5	10.9	"Unbrowsed"	"Live"	41	0	0	0	4	"ok"	"CA1001"	332458.5303	5365787.26	-67.12621307	48.43013629	"no"
"12"	"1_2014"	0	"0"	"0"	"44.3333333333333"	74.3333333333333	-3.12435109029965	3.90839209865416	"CA1001"	6.5	5.050000191	2	"2014_CA1001"	1.27027397260274	14.8926229508197	-8.70302197802198	3.24918032786885	2.80630136986301	2.63021978021978	"CA1001_EX"	"Casault"	"EX"	2010	2014	"T4"	"25/05/2014"	5	25	1	"Abibal"	"Abies balsamea"	19	3.3	"Unbrowsed"	"Live"	1	0	0	0	4	"ok"	"CA1001"	332458.5303	5365787.26	-67.12621307	48.43013629	"no"
"15"	"1_2015"	NA	NA	NA	NA	61.8	3.91374830726366	3.12089864586724	"CA1001"	6.5	5.050000191	2	"2015_CA1001"	2.22486338797814	14.302868852459	-6.17814207650273	3.22131147540984	2.72459016393443	2.65737704918033	"CA1001_EX"	"Casault"	"EX"	2010	2015	"T5"	"26/05/2015"	5	26	1	"Abibal"	"Abies balsamea"	7	NA	"Unbrowsed"	"Live"	NA	NA	NA	NA	4	"ok"	"CA1001"	332458.5303	5365787.26	-67.12621307	48.43013629	NA
"24"	"100_2011"	0	"0"	"0"	"8"	42	-3.79173067649748	0.163493082715569	"MA1002"	6.5	4.880000114	3.3	"2011_MA1002"	3.19071038251366	13.9647540983607	-4.73469945355191	3.34262295081967	2.7051912568306	1.97540983606557	"MA1002_EX"	"Matane"	"EX"	2010	2011	"T1"	"08/07/2011"	7	8	100	"Abibal"	"Abies balsamea"	42	NA	"Unbrowsed"	"Live"	8	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"25"	"100_2012"	0	"0"	"0"	"6.47368421052632"	26.7894736842105	1.94250159790619	2.11031612552222	"MA1002"	6.5	4.880000114	3.3	"2012_MA1002"	3.26657534246575	14.858606557377	-4.88324175824176	2.67459016393443	2.89424657534247	2.85879120879121	"MA1002_EX"	"Matane"	"EX"	2010	2012	"T2"	"17/06/2012"	6	17	100	"Abibal"	"Abies balsamea"	27	NA	"Unbrowsed"	"Live"	7	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"44"	"100_2013"	0	"0"	"0"	"15.6818181818182"	34.5818181818182	2.23977296487874	2.5842924836885	"MA1002"	6.5	4.880000114	3.3	"2013_MA1002"	1.1413698630137	13.4831967213115	-8.075	2.59508196721311	2.78931506849315	2.93296703296703	"MA1002_EX"	"Matane"	"EX"	2010	2013	"T3"	NA	NA	NA	100	"Abibal"	"Abies balsamea"	26.5	10.8	"Unbrowsed"	"Live"	12	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"66"	"100_2014"	0	"0"	"0"	"19.0666666666667"	43.5666666666667	1.02093876196824	3.08916410095265	"MA1002"	6.5	4.880000114	3.3	"2014_MA1002"	1.49630136986301	14.7512295081967	-8.1478021978022	3.33770491803279	2.93260273972603	2.79615384615385	"MA1002_EX"	"Matane"	"EX"	2010	2014	"T4"	"31/05/2014"	5	31	100	"Abibal"	"Abies balsamea"	73	15	"Unbrowsed"	"Live"	41	0	0	0	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	"no"
"96"	"100_2015"	NA	NA	NA	NA	47.6621621621622	-0.810269907162369	3.05020707593136	"MA1002"	6.5	4.880000114	3.3	"2015_MA1002"	2.40450819672131	14.1860655737705	-5.79071038251366	3.00983606557377	2.48114754098361	2.37213114754098	"MA1002_EX"	"Matane"	"EX"	2010	2015	"T5"	"31/05/2015"	5	31	100	"Abibal"	"Abies balsamea"	43	NA	"Unbrowsed"	"Live"	NA	NA	NA	NA	4	"ok"	"MA1002"	362382.0672	5401243.758	-66.71693371	48.74696297	NA
